,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11705,Mont Albert,53/781 Whitehorse Rd,2,u,725000.0,VB,Jellis,19/11/2016,11.8,3127.0,2.0,2.0,2.0,0.0,116.0,2005.0,Whitehorse,-37.8161,145.1098,Eastern Metropolitan,2079.0
11706,Wantirna,9 Eton Sq,4,h,850000.0,VB,Purplebricks,29/07/2017,14.7,3152.0,4.0,2.0,3.0,785.0,,,Knox,-37.85297,145.23815,Eastern Metropolitan,5424.0
11707,Armadale,7/844 Malvern Rd,2,u,471500.0,S,Ray,30/07/2016,6.3,3143.0,2.0,1.0,1.0,0.0,,1980.0,Stonnington,-37.8503,145.0185,Southern Metropolitan,4836.0
11708,Surrey Hills,2/11 Blackburn St,2,u,823000.0,S,Fletchers,17/09/2016,11.2,3127.0,2.0,1.0,2.0,165.0,,1970.0,Boroondara,-37.822,145.0989,Southern Metropolitan,5457.0
11709,Bentleigh East,11 Moylan St,4,h,1690000.0,S,Gary,17/09/2016,13.9,3165.0,4.0,2.0,2.0,700.0,165.0,1950.0,Glen Eira,-37.9117,145.0534,Southern Metropolitan,10969.0
11710,Bentleigh East,2/8 Rudyard St,3,t,700000.0,PI,hockingstuart,24/09/2016,13.9,3165.0,3.0,2.0,2.0,194.0,200.0,2008.0,Glen Eira,-37.9272,145.0801,Southern Metropolitan,10969.0
11711,Keilor East,13 Wonganella Dr,3,h,720000.0,SP,Brad,24/09/2016,12.8,3033.0,3.0,1.0,2.0,639.0,18.0,,Moonee Valley,-37.7334,144.8638,Western Metropolitan,5629.0
11712,Brighton,161 Church St,5,h,5800000.0,PI,Castran,8/04/2017,11.2,3186.0,5.0,4.0,4.0,1276.0,,1880.0,Bayside,-37.9164,144.9974,Southern Metropolitan,10579.0
11713,Preston,62 Leicester St,4,h,1142500.0,S,hockingstuart,28/08/2016,8.8,3072.0,3.0,1.0,2.0,560.0,160.0,1970.0,Darebin,-37.743,144.9914,Northern Metropolitan,14577.0
11714,Ascot Vale,2/78 Ormond Rd,2,h,636500.0,S,Jellis,8/10/2016,5.9,3032.0,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7738,144.9345,Western Metropolitan,6567.0
11715,Ascot Vale,1/60 The Parade,2,u,690000.0,S,Brad,22/05/2016,5.9,3032.0,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7728,144.9169,Western Metropolitan,6567.0
11716,Yarraville,27 Regent St,3,h,1414000.0,S,Jas,7/11/2016,7.0,3013.0,3.0,2.0,2.0,230.0,,1900.0,Maribyrnong,-37.8124,144.8875,Western Metropolitan,6543.0
11717,Epping,7/12 Kirkland Ct,3,h,375000.0,SP,RW,9/09/2017,19.6,3076.0,3.0,1.0,1.0,167.0,,2011.0,,-37.63011,145.02936,Northern Metropolitan,10926.0
11718,Templestowe Lower,315 Thompsons Rd,3,h,1290000.0,S,Barry,7/11/2016,13.8,3107.0,3.0,1.0,2.0,900.0,125.0,1960.0,Manningham,-37.764,145.1097,Eastern Metropolitan,5420.0
11719,Caulfield South,28 Ellington St,4,h,1960000.0,PI,hockingstuart,16/04/2016,9.3,3162.0,5.0,3.0,4.0,708.0,,,Glen Eira,-37.8923,145.0177,Southern Metropolitan,5051.0
11720,Brunswick West,5 Halpin St,3,h,1200000.0,S,Nelson,4/06/2016,5.9,3055.0,3.0,1.0,1.0,600.0,,,Moreland,-37.769,144.9478,Northern Metropolitan,7082.0
11721,Southbank,61/120 Sturt St,2,u,642500.0,S,Greg,17/06/2017,0.7,3006.0,2.0,1.0,1.0,8888.0,77.0,1994.0,Melbourne,-37.82481,144.96669,Southern Metropolitan,8400.0
11722,Bentleigh East,38 Northam Rd,3,h,1338000.0,S,Buxton,7/05/2016,13.9,3165.0,3.0,2.0,2.0,610.0,177.0,1970.0,Glen Eira,-37.9231,145.066,Southern Metropolitan,10969.0
11723,Hampton,3/308 Hampton St,2,u,742000.0,S,hockingstuart,14/05/2016,13.7,3188.0,2.0,3.0,2.0,245.0,,,Bayside,-37.9442,145.0016,Southern Metropolitan,5454.0
11724,Carlton,87 Palmerston St,3,h,1263000.0,S,Harrington,9/09/2017,1.6,3053.0,3.0,1.0,1.0,110.0,128.0,1880.0,,-37.79667,144.97204,Northern Metropolitan,6786.0
11725,Bentleigh,4 Gordon St,3,h,1340000.0,S,hockingstuart,10/09/2016,13.0,3204.0,3.0,2.0,1.0,526.0,135.0,1910.0,Glen Eira,-37.9279,145.031,Southern Metropolitan,6795.0
11726,Sunshine West,18 Marchant Cr,3,h,583500.0,S,S&L,29/07/2017,10.5,3020.0,3.0,1.0,1.0,672.0,110.0,1970.0,Brimbank,-37.80118,144.80996000000005,Western Metropolitan,6763.0
11727,Mill Park,79 Freeman Cr,3,h,705000.0,S,Love,8/07/2017,17.9,3082.0,3.0,2.0,2.0,531.0,,,Whittlesea,-37.66462,145.05659,Northern Metropolitan,10529.0
11728,Williamstown,43B Cole St,3,h,1800000.0,VB,Raine,4/03/2017,8.0,3016.0,3.0,2.0,2.0,332.0,252.0,2006.0,Hobsons Bay,-37.8652,144.9019,Western Metropolitan,6380.0
11729,Fairfield,3/18 Gillies St,2,u,730000.0,S,Jellis,11/02/2017,5.8,3078.0,2.0,1.0,1.0,116.0,,1985.0,Darebin,-37.7818,145.0161,Northern Metropolitan,2970.0
11730,Albion,7 Dalworth St,2,h,765000.0,SA,Barry,4/02/2016,13.9,3020.0,2.0,1.0,2.0,672.0,111.0,1958.0,Brimbank,-37.7812,144.8121,Western Metropolitan,2185.0
11731,Caulfield South,26 Gardenvale Rd,2,h,1104000.0,S,Gary,13/05/2017,9.3,3162.0,2.0,1.0,1.0,534.0,,,Glen Eira,-37.8989,145.0171,Southern Metropolitan,5051.0
11732,Box Hill,32 Sweetland Rd,3,h,910000.0,S,Fletchers,13/05/2017,13.1,3128.0,3.0,1.0,2.0,414.0,,,Whitehorse,-37.8247,145.1359,Eastern Metropolitan,4605.0
11733,Camberwell,2 Thomas St,3,h,1690000.0,PI,hockingstuart,4/06/2016,7.8,3124.0,3.0,2.0,1.0,777.0,154.0,1950.0,Boroondara,-37.8431,145.0962,Southern Metropolitan,8920.0
11734,Collingwood,307/11 Hoddle St,1,u,372000.0,SP,Woodards,8/10/2016,1.6,3066.0,1.0,1.0,1.0,0.0,65.0,2005.0,Yarra,-37.809,144.9911,Northern Metropolitan,4553.0
11735,St Kilda,14/31 Burnett St,2,u,475000.0,SP,McGrath,13/08/2016,6.1,3182.0,2.0,1.0,1.0,0.0,83.0,1970.0,Port Phillip,-37.8604,144.9817,Southern Metropolitan,13240.0
11736,Caulfield East,17 Clifton St,2,h,1000000.0,S,hockingstuart,25/02/2017,9.3,3145.0,2.0,1.0,1.0,472.0,,1960.0,Glen Eira,-37.884,145.0447,Southern Metropolitan,608.0
11737,Caulfield North,6/378 Dandenong Rd,2,u,622000.0,PI,Castran,25/02/2017,8.1,3161.0,2.0,2.0,1.0,934.0,,,Glen Eira,-37.8607,145.0116,Southern Metropolitan,6923.0
11738,Middle Park,136 Page St,5,h,6400000.0,S,Marshall,9/09/2017,3.0,3206.0,5.0,2.0,1.0,553.0,308.0,1920.0,,-37.84908,144.95753,Southern Metropolitan,2019.0
11739,Thomastown,232 Main St,3,h,580000.0,S,Harcourts,8/07/2017,15.3,3074.0,3.0,1.0,2.0,538.0,140.0,1975.0,Whittlesea,-37.67751,144.98663,Northern Metropolitan,7955.0
11740,Northcote,29 Traill St,5,h,1700000.0,S,Nelson,27/06/2016,5.5,3070.0,5.0,3.0,1.0,450.0,265.0,1930.0,Darebin,-37.7701,144.9886,Northern Metropolitan,11364.0
