,node_id,feat,Price,train_mask,test_mask
0,0,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 1.0, 1.0041984785711318, 1.164335149462524, 9.474452554744525, -37.7996, 144.9984, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.48e-05,True,False
1,1,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 0.0, 1.003242389391567, 1.1046973936091886, 8.708029197080291, -37.8079, 144.9934, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.035e-05,True,False
2,2,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 0.0, 1.0027851293491665, 1.1987925195111178, 8.708029197080291, -37.8093, 144.9944, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0",1.465e-05,True,False
3,3,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 1.0, 1.0019537474538929, 1.164335149462524, 9.474452554744525, -37.7969, 144.9969, 2.5854399327134248, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0",8.5e-06,True,False
4,4,"4, 1.4746835443037976, 1.6171954964176045, 3.0, 1.0, 2.0, 1.0024941456858207, 1.188190251803858, 9.956204379562044, -37.8072, 144.9941, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",1.6e-05,True,False
5,5,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 0.0, 1.003762003076113, 1.164335149462524, 9.474452554744525, -37.8041, 144.9953, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",9.41e-06,True,False
6,6,"3, 1.4746835443037976, 1.6171954964176045, 4.0, 2.0, 0.0, 1.0050922141085508, 1.2783095273155647, 8.817518248175181, -37.8024, 144.9993, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.876e-05,True,False
7,7,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 2.0, 1.005320844129751, 1.1418053305845972, 8.598540145985401, -37.806, 144.9954, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.636e-05,True,False
8,8,"1, 1.4746835443037976, 1.6171954964176045, 1.0, 1.0, 1.0, 1.0, 1.164335149462524, 9.474452554744525, -37.8008, 144.9973, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",3e-06,True,False
9,9,"2, 1.4746835443037976, 1.6171954964176045, 3.0, 1.0, 2.0, 1.0045726004240048, 1.0993962597555589, 8.708029197080291, -37.801, 144.9989, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.097e-05,True,False
10,10,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 2.0, 1.0, 1.0, 1.164335149462524, 9.474452554744525, -37.811, 145.0067, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",7e-06,True,False
11,11,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 2.0, 1.0044478931397138, 1.2518038580474158, 9.857664233576644, -37.8085, 144.9964, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",1.35e-05,True,False
12,12,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 2.0, 1.0, 1.0, 1.1245766455603003, 9.901459854014599, -37.8078, 144.9965, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",7.5e-06,True,False
13,13,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 1.0, 1.0040529867394588, 1.164335149462524, 9.474452554744525, -37.8084, 144.9973, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.1725e-05,True,False
14,14,"1, 1.4746835443037976, 1.6171954964176045, 1.0, 1.0, 1.0, 1.0, 1.164335149462524, 9.474452554744525, -37.8016, 144.9988, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0",4.41e-06,True,False
15,15,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 2.0, 1.004946722276878, 1.1285524959505229, 8.598540145985401, -37.809, 144.9976, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.31e-05,True,False
16,16,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 1.0, 1.002348653854148, 1.1457811809748195, 8.489051094890511, -37.8056, 144.993, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.2e-05,True,False
17,17,"3, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 1.0, 1.002868267538694, 1.1391547636577823, 8.598540145985401, -37.8021, 144.9965, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.1765e-05,True,False
18,18,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 1.0, 0.0, 1.0038035721708767, 1.164335149462524, 9.474452554744525, -37.8022, 144.9975, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",9.55e-06,True,False
19,19,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 1.0, 1.003117682107276, 1.096745692828744, 9.63868613138686, -37.8011, 145.0004, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",8.900000000000001e-06,True,False
20,20,"4, 1.4746835443037976, 1.6171954964176045, 4.0, 2.0, 2.0, 1.016211946957835, 1.1789132675600058, 8.708029197080291, -37.8073, 144.9952, 2.5854399327134248, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0",1.3300000000000001e-05,True,False
21,21,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 2.0, 1.0, 1.164335149462524, 9.912408759124089, -37.8093, 144.9959, 2.5854399327134248, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",9e-06,True,False
22,22,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 2.0, 1.089165708268093, 1.0357826535120012, 9.474452554744525, -37.8078, 144.9965, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.09e-05,True,False
23,23,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 1.0, 1.0, 1.0795170078044471, 9.474452554744525, -37.8015, 144.9972, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",5e-06,True,False
24,24,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 2.0, 1.0, 1.0025772838753482, 1.1789132675600058, 9.945255474452557, -37.8079, 144.9977, 2.5854399327134248, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0",1.1e-05,True,False
25,25,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 1.0, 0.0, 1.0030553284651305, 1.1126490943896334, 8.708029197080291, -37.808, 144.994, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.3150000000000001e-05,True,False
26,26,"1, 1.4746835443037976, 1.6171954964176045, 1.0, 1.0, 1.0, 1.0, 1.164335149462524, 9.474452554744525, -37.8016, 144.9988, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0",4.26e-06,True,False
27,27,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 3.0, 1.0, 1.0034502348653853, 1.2305993226328964, 9.934306569343066, -37.8017, 145.0001, 2.5854399327134248, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0",1.4475e-05,True,False
28,28,"1, 1.4746835443037976, 1.6171954964176045, 1.0, 1.0, 1.0, 1.0, 1.0662641731703726, 9.474452554744525, -37.8078, 144.9965, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",4.57e-06,True,False
29,29,"2, 1.4746835443037976, 1.6171954964176045, 2.0, 2.0, 2.0, 1.0020368856434203, 1.1696362833161538, 8.927007299270075, -37.8005, 144.9952, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.135e-05,True,False
30,30,"4, 1.4746835443037976, 1.6171954964176045, 4.0, 3.0, 1.0, 1.0, 1.164335149462524, 9.474452554744525, -37.7994, 144.9965, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.542e-05,True,False
31,31,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 2.0, 2.0, 1.0030553284651305, 1.023855102341334, 9.474452554744525, -37.805, 144.9943, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.29e-05,True,False
32,32,"3, 1.4746835443037976, 1.6171954964176045, 3.0, 1.0, 1.0, 1.003491803960149, 1.164335149462524, 9.255474452554745, -37.8007, 144.9958, 2.5854399327134248, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1.29e-05,True,False
33,33,"1, 1.4746835443037976, 1.6171954964176045, 1.0, 1.0, 1.0, 1.0, 1.0662641731703726, 9.945255474452557, -37.8055, 144.9961, 2.5854399327134248, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",4.7e-06,True,False
