,e,feat
0,-9223372036854775808,"4.638356312255155, 5.738495026578448, 4.2, 1.5638173302107727"
8171,0,"5.246418228943696, 5.7701962751643805, 5.0, 1.0052693208430914"
81,1,"6.977526547034188, 5.2279126088637895, 2.7, 1.411007025761124"
2448,2,"4.849946800763632, 6.03634168462122, 4.7, 1.3635831381733021"
4621,3,"4.696866344706507, 7.293047396744441, 5.0, 1.0474238875878221"
4622,4,"3.1486018780265113, 7.451607859331261, 5.0, 1.0052693208430914"
2449,5,"6.543902962687525, 5.399995125707619, 1.0, 1.0052693208430914"
6497,6,"4.381834395400119, 5.6929045087754275, 3.5, 1.8114754098360657"
95,8,"4.605091411012154, 7.6035789903751265, 4.7, 1.07903981264637"
111,9,"4.85548063258085, 6.033149296842112, 4.5, 1.173887587822014"
2463,10,"4.85548063258085, 6.033149296842112, 4.5, 1.173887587822014"
112,11,"4.803836694813469, 7.523693716982052, 2.9, 2.654566744730679"
2464,12,"2.4714837407972823, 8.48961857839322, 4.2, 2.059133489461358"
113,13,"6.7511109135624565, 2.3266917902674322, 5.0, 1.0105386416861826"
4639,14,"2.679928707863894, 8.23914429329875, 0.0, 1.0"
4640,15,"3.105596813681359, 5.99674818966605, 0.0, 1.0"
115,16,"5.4734863021392925, 4.717294044709888, 4.3, 1.2423887587822013"
8187,17,"4.997383891326763, 6.935130286006142, 3.0, 1.0052693208430914"
2468,18,"6.346437556081469, 4.295961292640413, 3.3, 1.063231850117096"
4643,19,"4.463632239888398, 3.103337466441417, 2.3, 1.0210772833723654"
4645,20,"3.3160431515062214, 5.7868433533819825, 0.0, 1.0"
128,21,"4.134939536220202, 6.067785800583351, 0.0, 1.0"
133,22,"6.766745655263435, 5.75766824798211, 0.0, 1.0"
134,23,"6.884506263064111, 5.783230352493547, 3.4, 1.1370023419203747"
4647,24,"5.8792002295444945, 6.734962807504644, 5.0, 1.0052693208430914"
4648,25,"4.900660892866256, 5.723822036840829, 4.8, 2.4648711943793913"
4649,26,"5.255871461437266, 7.728478903075938, 5.0, 1.0052693208430914"
4650,27,"4.604496119293401, 5.767551834541337, 0.0, 1.0"
2482,28,"6.043930544537318, 5.3886780042346345, 3.6, 1.411007025761124"
8197,29,"2.5971879212929707, 8.46891324087892, 4.3, 1.0895784543325526"
143,31,"5.827882511638961, 5.910663801970031, 3.6, 1.1580796252927401"
144,32,"4.127132880620536, 6.572063950718302, 0.0, 1.0"
2498,33,"5.863095207385811, 5.000835749485304, 0.0, 1.0"
2520,34,"5.771681020472954, 7.019114072684943, 3.1, 1.0368852459016393"
146,35,"7.504222801022195, 3.2367556161159428, 4.0, 1.4584309133489461"
4654,36,"5.600423927076008, 6.9992573549789086, 4.4, 2.3489461358313815"
4655,37,"5.916009497681102, 7.031304459265584, 4.0, 1.0210772833723654"
6523,38,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
2543,39,"6.969072214044672, 6.144127079926193, 4.4, 1.2265807962529274"
176,40,"6.384121903044445, 5.743702578336297, 4.5, 1.0685011709601873"
177,41,"4.75114147187071, 6.89748623423111, 4.5, 1.959016393442623"
6528,42,"8.048286095612639, 3.455471146926584, 4.8, 1.1053864168618266"
178,43,"5.866632430778452, 5.656121399458698, 3.5, 1.1159250585480094"
8205,44,"4.453901601453879, 6.711549773098795, 4.1, 1.094847775175644"
2559,45,"4.299622227875375, 6.352967239277177, 3.8, 1.1475409836065573"
2560,46,"6.341840713429406, 6.031436448535715, 2.6, 1.7324355971896956"
4670,47,"4.9417300685420855, 5.623768693459624, 4.4, 3.5766978922716626"
2562,48,"2.9542808022787312, 7.83429842500118, 3.6, 1.2423887587822013"
4671,50,"6.844864596930108, 1.0090785067798151, 3.4, 1.3846604215456675"
182,51,"2.1118311054211745, 6.666423408433957, 4.8, 2.0960187353629975"
6533,52,"4.734812620025764, 7.864120880264409, 0.0, 1.0"
6534,53,"7.797108707808206, 5.162835874355096, 2.4, 1.6797423887587821"
6535,54,"5.399997539460912, 4.815149848897136, 0.0, 1.0"
2563,55,"6.5786703802286866, 3.7997889814698738, 0.0, 1.0"
4675,56,"5.800377653066448, 5.941506572627304, 4.6, 1.0579625292740047"
8210,57,"4.644646164555525, 5.889410517299439, 4.9, 2.4543325526932085"
6538,59,"5.5498229403997925, 4.746110971758526, 4.6, 1.094847775175644"
6539,60,"5.8776262782402, 4.15667263265459, 3.6, 2.090749414519906"
4677,61,"5.15027504461716, 5.767677525567933, 0.0, 1.0"
8213,62,"4.632308148392838, 5.514304953267128, 0.0, 1.0"
2567,63,"7.8218395069714575, 5.112616147819381, 4.4, 1.2265807962529274"
186,64,"5.076782710188638, 7.754610314003003, 0.0, 1.0"
2569,65,"5.299368236741998, 5.885197814126286, 0.0, 1.0"
189,66,"4.908404447543546, 5.167483977817028, 3.2, 1.2581967213114753"
197,67,"6.518097066680241, 6.534744395384905, 0.0, 1.0"
198,68,"1.209529588578107, 7.007167674568109, 3.7, 1.015807962529274"
8215,69,"3.5518762999683986, 5.862460060923013, 3.4, 1.0263466042154568"
8217,70,"5.23973786527597, 6.639343974991107, 0.0, 1.0"
200,71,"6.221672745917999, 5.153755724555367, 0.0, 1.0"
2576,72,"6.5687242461921755, 6.124338547548632, 0.0, 1.0"
2577,73,"1.205874497425043, 7.264002089921405, 2.9, 1.1844262295081966"
4684,74,"2.608279396596515, 6.762110426275967, 3.6, 1.1317330210772834"
4688,75,"4.73922849399537, 5.772636159802232, 4.0, 1.0210772833723654"
6550,76,"1.6666017137259814, 7.948634540879993, 4.5, 1.1053864168618266"
8220,77,"5.095554639247325, 5.93926385038435, 4.1, 1.0685011709601873"
202,78,"3.7725533212714595, 7.2057808561885395, 3.9, 2.1434426229508197"
2579,79,"5.405006323982548, 5.284586117795698, 3.8, 1.6217798594847777"
8222,80,"5.632795890740965, 5.54498177890855, 3.7, 1.205503512880562"
6554,81,"3.546076968044474, 6.903448753659859, 4.3, 1.0843091334894615"
2580,83,"3.7441067111998905, 7.391589161763932, 0.0, 1.0"
203,84,"4.463364358615024, 3.111560781332628, 4.1, 1.0368852459016393"
2582,85,"4.225732238578701, 3.442565225153885, 5.0, 1.1475409836065573"
2583,87,"5.993168829097101, 5.673825761019543, 0.0, 1.0"
2584,88,"4.525309224283376, 6.892343581761452, 4.2, 1.0526932084309133"
4697,89,"6.781713670239299, 2.1685716570293607, 0.0, 1.0"
6558,90,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
8226,91,"4.3587727942160654, 6.354812350690736, 0.0, 1.0"
8227,92,"4.892593499493955, 5.7268566947038835, 0.0, 1.0"
8228,93,"4.841125768075244, 6.030377522172557, 5.0, 1.015807962529274"
2589,94,"5.391468199714836, 5.390685774623762, 5.0, 1.0052693208430914"
207,95,"5.309598920220367, 7.7454981253142705, 3.1, 2.9759953161592505"
2590,97,"4.525315177200582, 7.6023795858054655, 4.8, 2.9443793911007026"
209,98,"7.929202749612784, 3.3457494526005576, 4.1, 1.3899297423887589"
8230,99,"5.48362531069273, 4.706276774379376, 4.0, 1.0210772833723654"
2625,100,"6.778824124236678, 6.224635057883688, 0.0, 1.0"
4724,101,"5.7796769788390066, 5.486841874663924, 3.5, 1.1686182669789227"
2631,102,"7.582596527544354, 6.689347644402233, 4.4, 1.7218969555035128"
2632,103,"5.911304311936249, 8.19991144122423, 3.2, 1.4057377049180328"
6565,104,"5.3698900654941895, 6.693322109681503, 5.0, 1.015807962529274"
4729,105,"2.942296389397086, 6.363894965020108, 0.0, 1.0"
8232,106,"3.991814738867447, 5.904726749350857, 5.0, 1.0052693208430914"
8237,107,"4.579029539565738, 5.566755900906401, 5.0, 1.0052693208430914"
2634,108,"4.680820851719773, 2.9130691831892364, 2.8, 1.4162763466042154"
8238,109,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
218,110,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
4741,111,"5.201716583200209, 5.957022431603946, 4.7, 1.4689695550351287"
220,113,"3.1036371133432112, 7.612413508691134, 4.2, 1.7745901639344261"
8241,114,"6.844864596930108, 1.008725257488777, 3.0, 1.1791569086651055"
2644,115,"2.6110629806734096, 6.761167332819923, 4.0, 2.0169789227166275"
2645,117,"3.984430740388234, 6.668010565713757, 3.4, 1.0526932084309133"
221,118,"1.736950907879475, 7.965928147451223, 2.3, 1.015807962529274"
4744,119,"4.066829829512471, 6.5081825132290305, 4.2, 1.031615925058548"
6576,121,"4.240770497977508, 2.970799975464388, 3.8, 1.1949648711943794"
2648,122,"4.942138438661004, 6.938033502272447, 0.0, 1.0"
8243,123,"5.474812612088442, 4.715444004236815, 0.0, 1.0"
223,124,"1.8877228226513125, 7.114934175143844, 4.6, 2.638758782201405"
6578,125,"2.403833599296547, 8.49463636134601, 0.0, 1.0"
2649,126,"5.716522480398055, 6.580988013621891, 3.8, 1.411007025761124"
224,127,"6.681901107758563, 6.7264166391917115, 2.6, 1.1001170960187354"
4749,128,"5.405849257056161, 5.53116069501948, 4.8, 1.1317330210772834"
2651,129,"7.384807282243344, 4.984687327824986, 4.3, 1.0843091334894615"
2652,130,"6.009136934160381, 6.006056719239496, 4.8, 1.094847775175644"
4751,131,"3.282003180445315, 7.484851903657727, 5.0, 1.0263466042154568"
2653,132,"4.475223760235565, 2.9887631126684937, 3.3, 1.1528103044496487"
4752,133,"5.854200358524508, 5.014464600039673, 3.0, 1.0210772833723654"
2655,134,"5.736848120842808, 5.23993705042858, 4.0, 1.1317330210772834"
6587,135,"4.397127439654412, 6.135640881841482, 4.9, 3.7663934426229506"
8256,136,"5.2543784698066816, 7.729153362769011, 0.0, 1.0"
2663,137,"6.079411121557428, 6.187650678622049, 5.0, 1.1791569086651055"
2664,138,"4.665068242258542, 6.894113935766654, 0.0, 1.0"
242,139,"5.309598920220367, 7.7454981253142705, 3.1, 2.9759953161592505"
245,140,"2.0026831782070076, 7.945658210225474, 4.2, 1.7640515222482436"
246,141,"4.441912426238559, 7.65544091535935, 0.0, 1.0"
2668,142,"5.38178280345096, 4.842608819950328, 3.0, 1.0526932084309133"
248,143,"7.214731247616385, 10.0, 4.3, 1.1949648711943794"
249,144,"3.966160046956759, 7.005256842356403, 4.3, 2.586065573770492"
6595,145,"5.769258183177669, 5.67008542608437, 4.6, 2.201405152224824"
6596,146,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
2682,147,"5.628004982988557, 6.672802433422021, 3.1, 1.1370023419203747"
251,148,"6.219530886314033, 6.15039520106734, 4.6, 1.0474238875878221"
8263,149,"4.182998627257348, 6.410540301636502, 4.1, 1.1686182669789227"
253,150,"5.784458361923953, 8.167305710151595, 0.0, 1.0"
8265,151,"4.720443468518965, 4.815679722833465, 4.7, 1.284543325526932"
6601,152,"2.601943111542255, 8.469752824077432, 4.9, 1.3266978922716628"
259,153,"4.476426249507426, 7.111573377819013, 3.5, 1.0210772833723654"
2685,154,"3.9534779521806627, 6.641848758917604, 4.7, 5.563231850117096"
6603,155,"5.532557099389521, 6.623220198630179, 0.0, 1.0"
2687,156,"6.365511893333178, 6.621306080378645, 3.3, 1.031615925058548"
4775,157,"1.283115979098227, 6.673061209065509, 3.5, 3.3975409836065573"
6604,158,"5.455454915978578, 4.803756326996108, 5.0, 1.0052693208430914"
6605,159,"3.1427180146785076, 7.421964493243422, 0.0, 1.0"
2689,160,"4.984311285183253, 2.783107947506778, 3.9, 1.7008196721311475"
4776,161,"3.234975134664978, 7.420571212318691, 4.3, 1.063231850117096"
2690,162,"3.1819513106935347, 7.622542726734082, 4.8, 1.0210772833723654"
8272,163,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
8275,164,"4.4839019229114, 2.993518012427785, 3.0, 1.0105386416861826"
4782,165,"6.013281355106244, 4.753526742340455, 4.9, 1.2107728337236534"
6610,166,"4.688390581215174, 4.810515711104472, 0.0, 1.0"
2695,167,"4.688384628298081, 4.810517354124613, 3.3, 1.015807962529274"
6612,168,"4.938471441673528, 5.998667236977326, 0.0, 1.0"
4786,169,"4.955943253618557, 6.000774410073518, 3.9, 1.31615925058548"
276,170,"8.002096220572412, 3.434801955850844, 5.0, 1.1053864168618266"
4787,171,"8.018934642128443, 3.3797755744271853, 4.0, 1.0210772833723654"
6615,172,"8.018284583571642, 3.3794034304066827, 4.5, 3.945550351288056"
4788,173,"4.476426249507426, 7.111573377819013, 3.5, 1.0210772833723654"
4789,174,"5.290163836186991, 6.050311461816818, 0.0, 1.0"
8282,175,"3.2457903946109923, 7.478066231229832, 3.5, 1.0421545667447307"
279,176,"3.754526697444703, 5.668453907265757, 4.1, 1.0474238875878221"
2701,177,"3.622482660144442, 6.024363247615156, 5.0, 1.015807962529274"
8284,178,"3.753609948197777, 5.669533371378293, 4.4, 1.1211943793911008"
2702,179,"6.644571554659933, 5.341559477870078, 4.4, 1.1791569086651055"
2703,180,"6.048520243688813, 6.056446498341074, 4.3, 1.0210772833723654"
8287,181,"4.372387115823585, 5.77039836661902, 5.0, 1.0210772833723654"
4793,182,"4.476209563321845, 6.716054112314623, 3.3, 2.132903981264637"
6618,183,"3.1313574675181712, 7.42078480491341, 3.8, 2.3752927400468384"
8288,184,"5.253518868564811, 7.657920232476272, 5.0, 1.0105386416861826"
6619,185,"4.620997605736761, 6.059462261474664, 0.0, 1.0"
6620,186,"4.695544797090918, 7.294000348320196, 0.0, 1.0"
283,188,"2.8128537769077866, 8.074801221968755, 5.0, 1.031615925058548"
8290,189,"3.215754355650404, 6.192214166556141, 4.2, 1.0526932084309133"
6622,190,"3.2160246180908416, 6.192176377097212, 3.6, 1.1001170960187354"
2708,191,"4.270927976448775, 7.703508285749649, 4.8, 1.205503512880562"
2709,192,"6.1061421008956245, 4.830013428949769, 3.5, 1.2423887587822013"
286,193,"4.890033745103324, 5.737082029414523, 0.0, 1.0"
287,194,"6.3465339933399605, 6.786625105563871, 2.4, 2.4069086651053864"
8293,195,"5.237151918049847, 5.272387516115259, 4.2, 1.3372365339578454"
2712,196,"4.732033798282714, 7.8622864484809725, 3.6, 1.31615925058548"
288,197,"3.9788480946498908, 7.59088830421706, 4.6, 1.9063231850117095"
4799,198,"6.780123050767031, 4.988357834412227, 4.1, 3.5292740046838404"
289,199,"1.1728012801154364, 6.747297779842029, 5.0, 1.0474238875878221"
8295,200,"5.240033129968538, 7.5348835044080715, 0.0, 1.0"
6627,201,"3.2406923163317742, 7.4771272453238, 4.7, 1.0526932084309133"
