,e,feat
15329,-9223372036854775808,"6.514295669964611, 5.653402508409499, 4.6, 1.002807061318695"
15330,-9223372036854775808,"6.306105269887894, 5.9360494825084515, 0.0, 1.0"
15332,-9223372036854775808,"4.0149210236080535, 7.132314093799323, 5.0, 1.000561412263739"
15333,-9223372036854775808,"6.38463743746297, 5.6681591252042836, 4.4, 1.0241407273407772"
15334,-9223372036854775808,"6.562311014497311, 5.530683608510117, 4.1, 1.0505271037365105"
15335,-9223372036854775808,"4.568239118967938, 6.648565394783645, 0.0, 1.0"
15336,-9223372036854775808,"3.0656219171074213, 6.457688405289446, 4.7, 1.001684236791217"
15337,-9223372036854775808,"5.872413535156511, 5.057701704694864, 0.0, 1.0"
15338,-9223372036854775808,"3.332741076994296, 7.819122637140936, 0.0, 1.0"
15339,-9223372036854775808,"6.153122964052216, 4.965025834367225, 4.5, 1.103299856527977"
15340,-9223372036854775808,"5.179879481482544, 5.643405879590773, 4.0, 1.001122824527478"
15341,-9223372036854775808,"6.339450857535496, 5.1348573325371945, 4.6, 1.0600711122200737"
6992,-9223372036854775808,"6.514295669964611, 5.653402508409499, 4.6, 1.002807061318695"
6991,-9223372036854775808,"6.278239982098, 5.587848431473958, 4.0, 1.000561412263739"
6990,-9223372036854775808,"6.4820721512714385, 5.6410209800842495, 0.0, 1.0"
6989,-9223372036854775808,"6.096978086089109, 5.668605527374439, 4.4, 1.0741064188135487"
6987,-9223372036854775808,"6.075650720074236, 5.650460832569934, 4.1, 1.0190880169671261"
6986,-9223372036854775808,"5.771439988491522, 5.038349434788643, 4.4, 1.0162809556484311"
6985,-9223372036854775808,"6.287328165209374, 5.0562652054036334, 5.0, 1.000561412263739"
6984,-9223372036854775808,"6.341655866886072, 5.045495139857621, 0.0, 1.0"
6983,-9223372036854775808,"5.853247446573789, 5.627158802802796, 5.0, 1.000561412263739"
6982,-9223372036854775808,"2.3667674504098954, 9.23056535826504, 4.3, 1.00561412263739"
3204,-9223372036854775808,"6.217474481722377, 5.662788400193222, 5.0, 1.000561412263739"
15342,-9223372036854775808,"6.064904176589948, 5.700935346085544, 4.4, 1.002807061318695"
15327,-9223372036854775808,"5.816375685309254, 5.638390804660048, 0.0, 1.0"
15328,-9223372036854775808,"6.302911689017378, 4.650722732744271, 4.3, 1.0842118395608509"
15325,-9223372036854775808,"6.205895880952028, 5.84215540845662, 4.0, 1.003929885846173"
11090,-9223372036854775808,"5.226428655914731, 5.685704529183113, 4.1, 1.0145967188572143"
11089,-9223372036854775808,"6.319163850838322, 5.083983019275593, 5.0, 1.0729835942860708"
11088,-9223372036854775808,"5.763905439317114, 4.937395502239269, 4.7, 1.001684236791217"
11087,-9223372036854775808,"4.465455301056352, 6.671004870906927, 0.0, 1.0"
11086,-9223372036854775808,"4.160039640042726, 7.215918025517794, 4.0, 1.000561412263739"
11085,-9223372036854775808,"6.187806978565561, 4.644007078117966, 4.1, 1.0134738943297361"
11084,-9223372036854775808,"5.851859533590186, 5.719371919232117, 4.6, 1.4446385128812924"
11083,-9223372036854775808,"2.4142821795628038, 9.266403440185513, 0.0, 1.0"
11082,-9223372036854775808,"6.32753966401873, 5.116487801474705, 3.8, 1.002245649054956"
15326,-9223372036854775808,"6.356217444815513, 5.17005197396702, 5.0, 1.000561412263739"
11080,-9223372036854775808,"6.2697191630835505, 5.084568411132523, 0.0, 1.0"
11079,-9223372036854775808,"6.419242044019711, 5.58985969399896, 0.0, 1.0"
3202,-9223372036854775808,"2.3088341671593753, 9.306613974132006, 4.6, 1.0101054207473021"
11077,-9223372036854775808,"6.075650720074236, 5.650460832569934, 4.1, 1.0190880169671261"
15324,-9223372036854775808,"6.226169077569693, 5.694569618435025, 3.0, 1.000561412263739"
15323,-9223372036854775808,"6.32753966401873, 5.116487801474705, 3.8, 1.002245649054956"
15322,-9223372036854775808,"6.341655866886072, 5.045495139857621, 0.0, 1.0"
15321,-9223372036854775808,"6.893647043779822, 6.102225551918309, 0.0, 1.0"
11078,-9223372036854775808,"6.07959004523434, 5.6831135979061855, 4.0, 1.000561412263739"
11071,-9223372036854775808,"6.2516705400955175, 5.879022831644988, 0.0, 1.0"
11070,-9223372036854775808,"6.609099563639802, 5.541205127792864, 0.0, 1.0"
11073,-9223372036854775808,"6.193429982577641, 4.903334853135675, 0.0, 1.0"
11074,-9223372036854775808,"6.924290459217104, 6.098000265443034, 0.0, 1.0"
11075,-9223372036854775808,"6.347044099547588, 5.72544249819498, 4.0, 1.000561412263739"
11076,-9223372036854775808,"6.226169077569693, 5.694569618435025, 3.0, 1.000561412263739"
11072,-9223372036854775808,"3.2308664226458745, 7.809774354331466, 4.4, 1.1644937932755286"
15343,0,"5.248223262951001, 5.260543253454216, 4.0, 1.002245649054956"
11091,1,"6.510815529945717, 6.85474269602355, 0.0, 1.0"
15344,2,"6.610380448507897, 6.416769841527184, 3.7, 1.00561412263739"
3205,2,"6.610380448507897, 6.416769841527184, 3.7, 1.00561412263739"
11092,2,"6.610380448507897, 6.416769841527184, 3.7, 1.00561412263739"
6993,2,"6.610380448507897, 6.416769841527184, 3.7, 1.00561412263739"
6994,3,"5.490630436520007, 6.566612987577855, 4.0, 1.002807061318695"
11099,3,"5.4246286143566635, 5.273832302674691, 0.0, 1.0"
11098,3,"3.9223704745615464, 7.364819312044347, 3.7, 1.003368473582434"
11097,3,"5.108436488020118, 5.235941261323205, 3.0, 1.000561412263739"
11096,3,"6.831072422997522, 4.832710922981278, 1.0, 1.000561412263739"
11095,3,"4.696364432651819, 7.928106903236085, 5.0, 1.000561412263739"
11094,3,"5.490630436520007, 6.566612987577855, 4.0, 1.002807061318695"
11093,3,"6.549306523024768, 5.050832343826414, 3.9, 1.0263863763957333"
15346,3,"6.2025688026468515, 4.249097316490634, 0.0, 1.0"
15347,3,"6.50892239822258, 6.111756156493357, 4.0, 1.000561412263739"
15348,3,"4.866512667231348, 6.140208980532407, 3.0, 1.000561412263739"
15350,3,"7.070684206319925, 5.023497160386114, 0.0, 1.0"
15351,3,"4.633162604094878, 7.046313816365, 0.0, 1.0"
15352,3,"5.607914837843396, 5.467166139278106, 4.6, 1.194810055517435"
3208,3,"5.490630436520007, 6.566612987577855, 4.0, 1.002807061318695"
3207,3,"6.011853907261354, 4.597538737924651, 4.1, 1.0202108414946043"
3206,3,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
6995,3,"6.375662036666938, 6.515486040121004, 4.0, 1.000561412263739"
15345,3,"5.490630436520007, 6.566612987577855, 4.0, 1.002807061318695"
11100,4,"2.3667674504098954, 9.23056535826504, 4.3, 1.00561412263739"
11101,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
6996,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
15353,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
15354,6,"5.080129277688002, 6.737834382614665, 2.5, 1.001122824527478"
3209,8,"2.3144836404902662, 9.354585855700634, 3.0, 1.002245649054956"
1,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
6997,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
3210,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
15355,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
11103,11,"4.081323338075151, 5.68698813981905, 4.4, 1.0134738943297361"
11104,11,"4.917539759921851, 7.203611715140823, 0.0, 1.0"
2,11,"5.714609209916318, 5.5037130686005185, 4.5, 1.001122824527478"
3,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15356,11,"4.809981107044052, 5.827199300582151, 4.7, 1.00561412263739"
11102,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15358,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15357,11,"3.3099613509580763, 6.171946866695407, 0.0, 1.0"
3211,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15359,12,"5.620209261064815, 5.552530334498897, 4.0, 1.000561412263739"
3212,13,"3.8726208142191467, 7.695591056367903, 0.0, 1.0"
11105,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
15360,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
6998,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
4,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
3213,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
15361,15,"7.622545338299005, 5.055840878065965, 0.0, 1.0"
3214,16,"1.5929300065532175, 7.112733717289984, 4.7, 1.0123510698022582"
6999,17,"5.192454709652566, 4.8230609507929785, 3.9, 1.0162809556484311"
15362,17,"5.192454709652566, 4.8230609507929785, 3.9, 1.0162809556484311"
11106,18,"5.780117321739624, 5.503192266068709, 4.1, 1.0662466471212027"
15363,18,"5.780117321739624, 5.503192266068709, 4.1, 1.0662466471212027"
15364,19,"6.532702204178122, 5.764281939761759, 0.0, 1.0"
11109,19,"6.5861138372520145, 5.760230799187866, 0.0, 1.0"
