,Encoded_Suburb
0,0
6661,1
38,2
9638,3
77,4
7209,5
119,6
140,7
9279,8
185,9
11409,10
219,11
281,12
368,13
406,14
9974,15
10745,16
719,17
437,18
10431,19
487,20
504,21
582,22
8622,23
8623,24
11427,25
9662,26
8624,27
6686,28
687,29
779,30
8630,31
8922,32
8924,33
8925,34
9320,35
8926,36
8631,37
961,38
1002,39
8632,40
1031,41
1152,42
8637,43
205,44
7233,45
1245,46
6695,47
1381,48
1450,49
10789,50
8644,51
6745,52
535,53
8646,54
1495,55
8647,56
8649,57
1544,58
6750,59
1624,60
6752,61
1657,62
1686,63
8657,64
8972,65
9355,66
1786,67
7329,68
1794,69
1815,70
1847,71
8982,72
9706,73
8659,74
10062,75
10819,76
8987,77
9367,78
1867,79
1899,80
2021,81
2060,82
10483,83
8668,84
8671,85
10484,86
7282,87
8672,88
10081,89
9373,90
10083,91
9724,92
8675,93
8676,94
10837,95
9727,96
10838,97
10088,98
8678,99
10089,100
8679,101
7301,102
2104,103
8681,104
8682,105
8683,106
9015,107
2181,108
6785,109
10100,110
2196,111
8684,112
9737,113
2239,114
280,115
11186,116
8686,117
2324,118
2459,119
6799,120
2470,121
6818,122
9038,123
2503,124
2537,125
2598,126
2631,127
8701,128
8703,129
8704,130
8705,131
7347,132
8706,133
8707,134
7236,135
2721,136
9048,137
2841,138
2929,139
8713,140
9054,141
2942,142
8716,143
2986,144
3070,145
10173,146
3086,147
6880,148
8724,149
9072,150
6958,151
3200,152
3249,153
8729,154
8730,155
9077,156
3298,157
8731,158
10928,159
3323,160
6992,161
7006,162
3393,163
9799,164
8734,165
3407,166
8737,167
7336,168
3479,169
3550,170
3657,171
8743,172
10580,173
8745,174
7017,175
7026,176
10232,177
3682,178
10947,179
8749,180
9489,181
8753,182
3683,183
3739,184
3785,185
3871,186
9107,187
9818,188
3941,189
8759,190
9109,191
9110,192
9111,193
8761,194
3973,195
8763,196
8765,197
1751,198
3992,199
8769,200
10609,201
4014,202
4113,203
9125,204
8775,205
9834,206
8777,207
9134,208
7046,209
8783,210
1512,211
4162,212
4250,213
9531,214
4299,215
9852,216
4349,217
9540,218
8794,219
4470,220
7249,221
8797,222
4502,223
11310,224
7093,225
9868,226
8801,227
4534,228
4557,229
1530,230
8808,231
4659,232
4763,233
4835,234
7352,235
4985,236
5210,237
9896,238
9186,239
8823,240
9585,241
7276,242
8824,243
5392,244
8825,245
9191,246
9902,247
8826,248
9905,249
9195,250
8827,251
7333,252
5433,253
9908,254
8830,255
7304,256
5474,257
8831,258
5525,259
5663,260
5692,261
8836,262
96,263
8837,264
10373,265
5710,266
5830,267
7318,268
8845,269
5868,270
5950,271
5996,272
6052,273
9613,274
8853,275
8855,276
8856,277
9227,278
6134,279
8858,280
8859,281
6192,282
6278,283
7323,284
8862,285
8863,286
10401,287
8865,288
9244,289
6348,290
1138,291
8868,292
8869,293
9246,294
11372,295
6376,296
9247,297
8870,298
7147,299
6407,300
8875,301
9260,302
489,303
8876,304
6424,305
6490,306
6500,307
8877,308
11100,309
8879,310
6544,311
161,312
6561,313
