,node_id,feat,Price,train_mask,test_mask
0,0,"0, 2, 2.5, 3067.0, 2.0, 1.0, 1.0, 202.0, 126.0, 1970.0, -37.7996, 144.9984, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1480000.0,True,False
1,1,"1, 2, 2.5, 3067.0, 2.0, 1.0, 0.0, 156.0, 79.0, 1900.0, -37.8079, 144.9934, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1035000.0,True,False
2,2,"2, 3, 2.5, 3067.0, 3.0, 2.0, 0.0, 134.0, 150.0, 1900.0, -37.8093, 144.9944, 4019.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0",1465000.0,True,False
3,3,"3, 3, 2.5, 3067.0, 3.0, 2.0, 1.0, 94.0, 126.0, 1970.0, -37.7969, 144.9969, 4019.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 20.0",850000.0,True,False
4,4,"4, 4, 2.5, 3067.0, 3.0, 1.0, 2.0, 120.0, 142.0, 2014.0, -37.8072, 144.9941, 4019.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",1600000.0,True,False
5,5,"5, 2, 2.5, 3067.0, 2.0, 1.0, 0.0, 181.0, 126.0, 1970.0, -37.8041, 144.9953, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",941000.0,True,False
6,6,"6, 3, 2.5, 3067.0, 4.0, 2.0, 0.0, 245.0, 210.0, 1910.0, -37.8024, 144.9993, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1876000.0,True,False
7,7,"7, 2, 2.5, 3067.0, 2.0, 1.0, 2.0, 256.0, 107.0, 1890.0, -37.806, 144.9954, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1636000.0,True,False
8,8,"8, 1, 2.5, 3067.0, 1.0, 1.0, 1.0, 0.0, 126.0, 1970.0, -37.8008, 144.9973, 4019.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",300000.0,True,False
9,9,"9, 2, 2.5, 3067.0, 3.0, 1.0, 2.0, 220.0, 75.0, 1900.0, -37.801, 144.9989, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1097000.0,True,False
10,10,"10, 2, 2.5, 3067.0, 2.0, 2.0, 1.0, 0.0, 126.0, 1970.0, -37.811, 145.0067, 4019.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",700000.0,True,False
11,11,"11, 3, 2.5, 3067.0, 3.0, 2.0, 2.0, 214.0, 190.0, 2005.0, -37.8085, 144.9964, 4019.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 20.0",1350000.0,True,False
12,12,"12, 2, 2.5, 3067.0, 2.0, 2.0, 1.0, 0.0, 94.0, 2009.0, -37.8078, 144.9965, 4019.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",750000.0,True,False
13,13,"13, 2, 2.5, 3067.0, 2.0, 1.0, 1.0, 195.0, 126.0, 1970.0, -37.8084, 144.9973, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1172500.0,True,False
14,14,"14, 1, 2.5, 3067.0, 1.0, 1.0, 1.0, 0.0, 126.0, 1970.0, -37.8016, 144.9988, 4019.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0",441000.0,True,False
15,15,"15, 2, 2.5, 3067.0, 2.0, 1.0, 2.0, 238.0, 97.0, 1890.0, -37.809, 144.9976, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1310000.0,True,False
16,16,"16, 3, 2.5, 3067.0, 3.0, 2.0, 1.0, 113.0, 110.0, 1880.0, -37.8056, 144.993, 4019.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 20.0",1200000.0,True,False
