,Encoded_floor
74238,0
22702,1
26514,2
32909,3
75067,4
161941,5
74294,6
26323,7
27615,8
24320,9
24977,10
20697,11
72301,12
16467,13
26439,14
22404,15
70834,16
24564,17
11264,18
76524,19
17001,20
18708,21
73483,22
26074,23
16577,24
14013,25
19095,26
127683,27
253322,28
43211,29
261410,30
133332,31
93074,32
60808,33
133454,34
18,35
65939,36
86765,37
277807,38
72793,39
33824,40
27781,41
19581,42
30353,43
88465,44
131098,45
22215,46
284639,47
229041,48
94341,49
245331,50
101027,51
130677,52
79588,53
118257,54
109083,55
92391,56
75967,57
197988,58
24232,59
262943,60
187867,61
297753,62
24034,63
110795,64
192469,65
20920,66
188863,67
9884,68
118374,69
8292,70
95465,71
17331,72
80443,73
18381,74
59721,75
51686,76
221936,77
21423,78
32116,79
1507,80
11743,81
21981,82
196536,83
160910,84
46622,85
27374,86
21155,87
301863,88
27079,89
5884,90
7387,91
48355,92
1974,93
349380,94
279428,95
188195,96
341435,97
155,98
210733,99
324654,100
337250,101
109351,102
11523,103
81225,104
362737,105
357521,106
10196,107
285102,108
347955,109
2430,110
11730,111
174927,112
23641,113
384301,114
11825,115
4434,116
210833,117
47786,118
33981,119
19813,120
7794,121
318925,122
220544,123
73732,124
3872,125
93406,126
247340,127
301273,128
81738,129
708,130
286352,131
17385,132
82943,133
89355,134
621,135
58798,136
219030,137
65322,138
4856,139
170927,140
364743,141
235273,142
336713,143
972,144
12464,145
44006,146
7018,147
245167,148
76226,149
70879,150
132278,151
220514,152
5131,153
310253,154
312101,155
325067,156
177595,157
62704,158
110,159
161657,160
326100,161
90393,162
331610,163
19086,164
5130,165
338246,166
6902,167
123378,168
153835,169
31028,170
83606,171
75453,172
197041,173
195724,174
4122,175
176747,176
197,177
3660,178
301017,179
256365,180
80396,181
196038,182
18877,183
1077,184
69347,185
381227,186
375,187
237624,188
169377,189
61319,190
106922,191
190043,192
83739,193
2719,194
252308,195
128663,196
8390,197
261322,198
147211,199
57661,200
50471,201
93114,202
99184,203
18452,204
325252,205
228971,206
89102,207
118584,208
28975,209
76203,210
348755,211
16287,212
32454,213
