,e,feat
0,-9223372036854775808,"nan, nan, 0.0, 1.0"
5418,0,"1.7905591655479665, 8.762009644719349, 0.0, 1.0"
2295,1,"1.2017731446508781, 8.751952152773145, 5.0, 1.0006954102920724"
1,2,"1.5595075314345612, 8.718009873220135, 5.0, 1.0006954102920724"
2,3,"1.5777985615486614, 8.719010670423708, 3.4, 1.1397774687065367"
2297,4,"1.797724276352298, 8.775129896058354, 3.2, 1.0034770514603617"
3,5,"1.7855790340531543, 8.75665756047649, 2.9, 1.0076495132127956"
5421,6,"1.7518793958154806, 8.757887590663582, 0.0, 1.0"
4,7,"1.1930021580896772, 8.70213004179667, 4.3, 1.0243393602225312"
1013,8,"1.1649250864804808, 8.698891116709525, 4.7, 1.0083449235048678"
5,9,"1.165030409365107, 8.700724107760413, 3.4, 1.1175243393602226"
6,10,"1.5718746595993798, 8.72046780142645, 4.8, 1.1926286509040334"
1016,11,"1.8103660446089211, 8.775457607766006, 4.0, 1.0013908205841446"
3804,12,"1.1646391532729332, 8.703303170533067, 0.0, 1.0"
1017,13,"1.2605177059397974, 8.693687536088396, 5.0, 1.027816411682893"
7,14,"1.798733817276628, 8.7621738652861, 4.6, 1.5132127955493742"
3806,15,"1.7452755210520312, 8.740871887331739, 5.0, 1.002086230876217"
8,16,"1.798542974224418, 8.769399938053251, 4.3, 1.0396383866481225"
1020,17,"1.7849646726508812, 8.761540549085014, 3.5, 1.0013908205841446"
9,18,"1.566112943758367, 8.723214133391842, 4.7, 1.0118219749652295"
10,19,"1.5734481140403922, 8.721742120854882, 4.4, 1.0465924895688457"
11,20,"1.7829446894737355, 8.755931869037656, 4.6, 2.1689847009735743"
5430,21,"1.120521138587482, 8.317320911039781, 0.0, 1.0"
3812,22,"1.3917498081076074, 8.709005915343004, 4.5, 1.021557719054242"
5432,23,"1.5710477702418961, 8.72079296326083, 4.8, 1.282336578581363"
2309,24,"1.1614241940901682, 8.700227923619092, 5.0, 1.0006954102920724"
1024,25,"1.5741833594985142, 8.72012090020798, 4.4, 1.0222531293463144"
12,26,"1.8233533397918507, 8.792842643719801, 2.8, 1.03894297635605"
1025,27,"1.1724834681112508, 8.71072459850538, 4.0, 1.0006954102920724"
1026,28,"1.8069291730508192, 8.779369898897476, 2.4, 1.0034770514603617"
1027,29,"1.7129634780195016, 8.734870227549195, 4.3, 1.0723226703755215"
1028,30,"1.5547401399722496, 8.724086850897478, 5.0, 1.062586926286509"
13,31,"1.804948477191826, 8.760849315224572, 3.3, 1.066759388038943"
1030,32,"1.8077943688689846, 8.777600810538559, 3.6, 1.9026425591098748"
2316,33,"1.1769519631416028, 8.710749879033763, 3.8, 1.0090403337969402"
1032,34,"1.7915024323188664, 8.760862064590922, 0.0, 1.0"
1033,35,"1.7063428226404067, 8.790886541794928, 4.6, 1.0194714881780251"
5441,36,"1.8038067325862395, 8.776637114302781, 0.0, 1.0"
