,e,feat
0,0,"1.7590573638055762, 8.742583525611973, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2229,1,"1.5718805712538657, 8.724856663248612, 4.4, 1.001750783529666, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5230,2,"1.518680107995766, 8.716259288587048, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
1,3,"1.5751562375611705, 8.720952102784269, 4.1, 1.4705717064735762, 0, 0, 0, 0, 0, 0, 0, 0, 0"
3,4,"1.5439271141956423, 8.72393506797663, 4.4, 1.0033070355560358, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5234,5,"1.7921238452910657, 8.778686208671893, 4.8, 1.0015562520263699, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5235,6,"1.5732052060132498, 8.726171543741824, 4.0, 1.0093375121582189, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8644,7,"1.5777638869115878, 8.7221032302914, 4.1, 1.0142007997406246, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5236,8,"1.7881324976557291, 8.769858092299838, 4.5, 1.0048632875824057, 0, 0, 0, 0, 0, 0, 0, 0, 0"
4,9,"1.7877810060556119, 8.779295933869424, 4.1, 1.0103101696747, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2234,10,"1.5686149521082209, 8.724926538504379, 4.2, 1.3828379984869772, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2235,11,"1.5989714304407388, 8.727380688658856, 4.2, 1.0575813249756836, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12389,12,"1.790239246954541, 8.778966769544482, 4.1, 1.0091429806549228, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8649,13,"1.5661338333715271, 8.725325733945311, 4.2, 1.0219820598724738, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12391,14,"1.3445376917855816, 8.699625318116606, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5240,15,"1.7387206096331402, 8.742993014062119, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5,16,"1.7988077262125302, 8.77742353511942, 4.4, 1.4592888792823948, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12394,17,"1.7124777414942018, 8.736119297621288, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
7,18,"1.7538409516989644, 8.742792833424415, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
